codice_isolato,data,popolazione,codice_gruppo,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
270422406,2018-11-27,54,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422404,2018-11-27,33,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270421662,2018-11-27,0,1,270425047,1,6,Città d'acqua,Laguna Veneta (M.1 - Q.6),Venezia - Murano - Burano,"Burano, Mazzorbo, Torcello"
270422902,2018-11-27,3,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422885,2018-11-27,57,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422317,2018-11-27,44,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270421894,2018-11-27,19,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270421682,2018-11-27,0,1,270425047,1,6,Città d'acqua,Laguna Veneta (M.1 - Q.6),Venezia - Murano - Burano,"Burano, Mazzorbo, Torcello"
270421948,2018-11-27,21,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422986,2018-11-27,11,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270421939,2018-11-27,18,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270423003,2018-11-27,0,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422008,2018-11-27,1,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422930,2018-11-27,192,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422342,2018-11-27,0,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270422007,2018-11-27,1,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270421932,2018-11-27,8,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422426,2018-11-27,34,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270421887,2018-11-27,53,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422355,2018-11-27,52,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422350,2018-11-27,73,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270423035,2018-11-27,33,3,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270423017,2018-11-27,15,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422884,2018-11-27,24,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422398,2018-11-27,18,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422863,2018-11-27,34,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422015,2018-11-27,2,3,270425077,3,8,Terraferma,Aeroporto,Favaro Veneto,Favaro Veneto
270421973,2018-11-27,11,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422324,2018-11-27,130,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270421692,2018-11-27,0,1,270425042,1,6,Città d'acqua,Isola Cason Grassabo',Venezia - Murano - Burano,"Burano, Mazzorbo, Torcello"
270422860,2018-11-27,15,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422987,2018-11-27,0,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270421945,2018-11-27,59,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422022,2018-11-27,0,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422960,2018-11-27,51,3,270425105,5,11,Terraferma,Taru',Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422932,2018-11-27,75,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422925,2018-11-27,0,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422328,2018-11-27,4,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270421923,2018-11-27,131,3,270425076,3,8,Terraferma,Dese,Favaro Veneto,Favaro Veneto
270421926,2018-11-27,46,3,270425076,3,8,Terraferma,Dese,Favaro Veneto,Favaro Veneto
270422373,2018-11-27,8,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270422346,2018-11-27,15,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270422369,2018-11-27,165,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422345,2018-11-27,11,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422921,2018-11-27,23,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270423021,2018-11-27,13,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270421912,2018-11-27,0,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422354,2018-11-27,44,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270421957,2018-11-27,71,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270421892,2018-11-27,4,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422422,2018-11-27,11,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270422901,2018-11-27,0,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270421875,2018-11-27,12,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422869,2018-11-27,145,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422883,2018-11-27,8,3,270425099,5,11,Terraferma,Zelarino,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422271,2018-11-27,21,3,270425095,4,9,Terraferma,Aree Non Altrove Classificate (M.4 - Q.9),Mestre - Carpenedo,"Carpenedo, Bissuola"
270422394,2018-11-27,76,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422993,2018-11-27,12,3,270425107,5,11,Terraferma,Maguolo,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270423001,2018-11-27,16,3,270425107,5,11,Terraferma,Maguolo,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270421907,2018-11-27,50,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270421952,2018-11-27,2,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422006,2018-11-27,2,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270421927,2018-11-27,103,3,270425076,3,8,Terraferma,Dese,Favaro Veneto,Favaro Veneto
270422368,2018-11-27,20,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422362,2018-11-27,32,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422931,2018-11-27,9,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270423030,2018-11-27,32,3,270425102,5,11,Terraferma,Trivignano,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422922,2018-11-27,3,3,270425108,5,11,Terraferma,Aree Non Altrove Classificate (M.5 - Q.11),Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
270422363,2018-11-27,10,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270422344,2018-11-27,29,3,270425088,4,10,Terraferma,La Favorita,Mestre - Carpenedo,Mestre Centro
270421906,2018-11-27,0,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422012,2018-11-27,13,3,270425079,3,8,Terraferma,Aree Non Altrove Classificate (M.3 - Q.8),Favaro Veneto,Favaro Veneto
270422414,2018-11-27,16,3,270425096,4,10,Terraferma,Aree Non Altrove Classificate (M.4 - Q.10),Mestre - Carpenedo,Mestre Centro
270422920,2018-11-27,16,3,270425101,5,11,Terraferma,Scaramuzza,Chirignago - Zelarino,"Cipressina, Zelarino, Trivignano"
