CIVICO,CLASSIFICAZIONE,CODICE_VIA,COD_ISOLATO,COD_LOCALITA,COD_MUNICIPALITA,COD_QUARTIERE,COD_ZONA,DENOMINAZIONE_STRUTTURA,ESRI_OID,ID_RAGIONE_SOCIALE,ID_STRUTTURA,INDIRIZZO,INDIRIZZO_EMAIL,LETTERA,NUMERO_LETTI,NUMERO_STANZE,NUM_STELLE,PERCENTUALE_RIDUZIONE,RAGIONE_SOCIALE,SITOWEB,SUB_CODICE_VIA,SUB_COD_VIA,TELEFONO,TIPO,TIPOLOGIA_STRUTTURA,TIPO_STRUTTURA,ZONA_IDS,longitude,latitude,data,codice_gruppo,codice_isolato,codice_localita,codice_municipalita,codice_quartiere,nome_gruppo,nome_localita,nome_municipalita,nome_quartiere
2,UNICA,11620,270421801,270425067,3,8,3,POP HOUSE,1271,5324,90297,VIA MONTE CERVINO 2,INFO@RENT-IT-VENICE.IT,_,2,1,0,30,BEMI SRL,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11620,11620,041974659,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307149.6369000003,5042467.7509,2019-04-17,3,270421801,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
2,UNICA,11620,270421801,270425067,3,8,3,CASA EUROPA,1272,5651,70721,VIA MONTE CERVINO 2,BARATELLA.ELIA92@GMAIL.COM,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11620,11620,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307149.6369000003,5042467.7509,2019-04-17,3,270421801,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
2,UNICA,11620,270421801,270425067,3,8,3,PASTORE,1273,6343,87230,VIA MONTE CERVINO 2,PASTORE.ROSSELLA@GMAIL.COM,_,2,1,0,30,PASTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11620,11620,3479772949,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307149.6369000003,5042467.7509,2019-04-17,3,270421801,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
28,UNICA,9240,270421869,270425067,3,8,3,ATTICO HOUSE,1274,6486,90036,VIA INDRI 28 B,STEFANIVACANZE@GMAIL.COM,B,4,3,0,30,ATTICO HOUSE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,9240,9240,335340217,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307371.4342,5043143.369000001,2019-04-17,3,270421869,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
39,UNICA,11580,270421790,270425067,3,8,3,BOÈ APARTMENT,1275,240,48031,VIA MONTE BOE' 39/D,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,D,2,2,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11580,11580,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307420.7088,5042302.2094,2019-04-17,3,270421790,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
39,UNICA,11580,270421790,270425067,3,8,3,CASA GIOVANNI,1276,6342,87223,VIA MONTE BOE' 39 C,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,C,3,2,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11580,11580,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307422.4488000004,5042304.6888,2019-04-17,3,270421790,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
1,UNICA,18370,270421821,270425067,3,8,3,LA CASA DI TINA,1277,3563,57526,VIA VAL FIORENTINA 1,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,5,2,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,18370,18370,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307496.3474000003,5042951.6031,2019-04-17,3,270421821,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
30,UNICA,1600,270421824,270425067,3,8,3,CASA TINA,1278,3563,57527,VIA BORGO SAN PIETRO 30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,2,1,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,1600,1600,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307531.6907,5042804.7182,2019-04-17,3,270421824,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
3,UNICA,11760,270421794,270425067,3,8,3,LA CASA DELLE COLLANE,1279,2724,43834,VIA MONTE MESOLA 3,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,_,5,2,0,30,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,11760,11760,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307544.6374000004,5042483.1833999995,2019-04-17,3,270421794,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
14,UNICA,13600,270421794,270425067,3,8,3,CA' BIANCA,1280,5324,90301,VIA PASSO ROLLE 14,INFO@RENT-IT-VENICE.IT,_,5,3,0,30,BEMI SRL,PUBBLICAZIONE DATO NON AUTORIZZATA DAL GESTORE,13600,13600,041974659,U,LOCAZIONI TURISTICHE,LOCAZIONI TURISTICHE ART.27 BIS L.R.V. 11/2013,TERRAFERMA,2307609.1764,5042437.271199999,2019-04-17,3,270421794,270425067,3,8,Terraferma,Favaro,Favaro Veneto,Favaro Veneto
